route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
"89",11367_13,11367_17079,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"18",11367_11,11367_1708,"18 DO ZAJEZDNI CHOCIANOWICE",,1,18   /06,2418131,0,0
"89",11367_13,11367_17080,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17081,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17082,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17083,"CM. SZCZECIŃSKA",,1,89   /01,2418268,0,0
"89",11367_13,11367_17084,"PL. SŁONECZNY",,0,89   /01,2418269,0,0
"89",11367_13,11367_17086,"89 ZJAZD DO LIMANOWSKIEGO",,1,89   /01,2418275,0,0
"89",11367_13,11367_17087,"CM. SZCZECIŃSKA",,0,89   /02,2418271,0,0
"89",11367_13,11367_17089,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"18",11367_11,11367_1709,"TELEFONICZNA ZAJEZDNIA",,0,18   /07,2418130,0,0
"89",11367_13,11367_17090,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17091,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17092,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17093,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17094,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17095,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17096,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17097,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17098,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17099,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"10A",11367_11,11367_171,"RETKINIA",,1,10   /03,2418311,0,0
"18",11367_11,11367_1710,"RETKINIA",,0,18   /07,2418135,0,0
"89",11367_13,11367_17100,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17101,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17102,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17103,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17104,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17105,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17106,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17107,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17108,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17109,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"18",11367_11,11367_1711,"TELEFONICZNA ZAJEZDNIA",,1,18   /07,2418136,0,0
"89",11367_13,11367_17110,"CM. SZCZECIŃSKA",,1,89   /02,2418268,0,0
"89",11367_13,11367_17111,"PL. SŁONECZNY",,0,89   /02,2418269,0,0
"89",11367_13,11367_17113,"89 ZJAZD DO LIMANOWSKIEGO",,1,89   /02,2418274,0,0
"9",11367_13,11367_17114,"OLECHÓW",,0,9    /01,2418057,0,0
"9",11367_13,11367_17116,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17117,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17118,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17119,"OLECHÓW",,1,9    /01,2418059,0,0
"18",11367_11,11367_1712,"RETKINIA",,0,18   /07,2418135,0,0
"9",11367_13,11367_17120,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17121,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17122,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17123,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17124,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17125,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17126,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17127,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17128,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17129,"OLECHÓW",,1,9    /01,2418059,0,0
"18",11367_11,11367_1713,"TELEFONICZNA ZAJEZDNIA",,1,18   /07,2418136,0,0
"9",11367_13,11367_17130,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17131,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17132,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17133,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17134,"DW. ŁÓDŹ FABRYCZNA",,0,9    /01,2418058,0,0
"9",11367_13,11367_17135,"OLECHÓW",,1,9    /01,2418059,0,0
"9",11367_13,11367_17137,"9 DO ZAJEZDNI CHOCIANOWICE",,1,9    /01,2418062,0,0
"9",11367_13,11367_17138,"OLECHÓW",,0,9    /02,2418057,0,0
"18",11367_11,11367_1714,"RETKINIA",,0,18   /07,2418135,0,0
"9",11367_13,11367_17140,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17141,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17142,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17143,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17144,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17145,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17146,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17147,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17148,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17149,"OLECHÓW",,1,9    /02,2418059,0,0
"18",11367_11,11367_1715,"TELEFONICZNA ZAJEZDNIA",,1,18   /07,2418136,0,0
"9",11367_13,11367_17150,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17151,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17152,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17153,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17154,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17155,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17156,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17157,"OLECHÓW",,1,9    /02,2418059,0,0
"9",11367_13,11367_17158,"DW. ŁÓDŹ FABRYCZNA",,0,9    /02,2418058,0,0
"9",11367_13,11367_17159,"OLECHÓW",,1,9    /02,2418059,0,0
"18",11367_11,11367_1716,"RETKINIA",,0,18   /07,2418135,0,0
"9",11367_13,11367_17161,"9 DO ZAJEZDNI CHOCIANOWICE",,1,9    /02,2418062,0,0
"9",11367_13,11367_17162,"OLECHÓW",,0,9    /03,2418057,0,0
"9",11367_13,11367_17164,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17165,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17166,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17167,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17168,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17169,"OLECHÓW",,1,9    /03,2418059,0,0
"18",11367_11,11367_1717,"TELEFONICZNA ZAJEZDNIA",,1,18   /07,2418136,0,0
"9",11367_13,11367_17170,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17171,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17172,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17173,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17174,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17175,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17176,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17177,"OLECHÓW",,1,9    /03,2418059,0,0
"9",11367_13,11367_17178,"DW. ŁÓDŹ FABRYCZNA",,0,9    /03,2418058,0,0
"9",11367_13,11367_17179,"OLECHÓW",,1,9    /03,2418059,0,0
"18",11367_11,11367_1718,"RETKINIA",,0,18   /07,2418135,0,0
